node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,71287.08096479396,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,51215.74443508304,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,81907.18249822434,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,27355.617618708697,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,90808.08121587594,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,78365.11584125919,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,78455.28019585703,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,41446.99217537185,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,74192.90395290854,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,75518.72663289294,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,57409.4601728297,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,92004.08947957247,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
