node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,86689.11341626069,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,68504.80269168087,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,71798.21067239942,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,32204.300176664092,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,89195.72531611986,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,82046.53935923464,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,104462.97802751926,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,45490.31422487425,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,47745.59111113621,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,41811.40556144617,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,52176.89225625383,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,104591.87863575137,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
