node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,34813.47846190309,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,51817.29795701988,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,35147.92607590901,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,16323.544530963985,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,88909.32521382875,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,101308.30621752498,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,62562.69766432199,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,72808.38641859891,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,41909.6424993116,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,66307.69483877075,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,53918.75883740145,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,70157.41242483225,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
