node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,76854.68339269128,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,55222.77003126022,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,51025.37112586225,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,27296.78671020317,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,107710.75919398821,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,82636.47253412238,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,108829.17410077975,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,57698.54199485776,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,55185.22116780851,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,44538.64369924074,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,82857.42668122183,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,150718.26124361155,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
