node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,80037.92936333401,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,49498.2872619371,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,86256.88177861072,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,14701.542134246458,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,44917.40207851028,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,71013.39320903097,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,63195.40988747325,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,67227.70397717673,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,68678.99293034227,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,60718.16419651524,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,61573.98998220534,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,154794.16560855816,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
