node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,73826.67447948872,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,77915.41251493135,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,37048.4244319438,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,30365.25662560123,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,102998.84851634315,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,86802.95184565935,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,63376.276742238384,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,73046.12165042176,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,76391.76662529905,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,50232.951177095056,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,40114.79222523134,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,145886.20669727057,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
