node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,88842.38028799374,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,45879.06378350018,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,58979.5616618887,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,28514.273902851353,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,103483.36604634233,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,78612.88156814058,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,52198.570691213325,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,33929.93116601935,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,82920.83440507368,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,42447.821577698836,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,29559.849829090464,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,191155.3379950598,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
