node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,35225.24558748018,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,51983.85292050821,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,67476.8069847941,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21226.178105264935,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,96517.87332022638,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,96479.69610952944,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,72181.37227379066,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,54480.05923911175,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,49231.172985798294,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,60989.666888996464,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,51505.93194128495,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,193612.04334014902,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
