node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,75048.21857990652,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,59977.70279144209,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,50535.521864329596,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21853.17863038629,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,46331.142093467606,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,106227.80557700421,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,65211.61263137699,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,45787.15219091117,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,33266.219906815284,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,49857.56295068768,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,35146.463915723594,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,70656.10245899169,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
