node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,31002.814870254762,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,60201.2389399454,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,34226.726851039326,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,13367.358636985558,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,84206.78403112708,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,66385.5826067888,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,89441.31664680937,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,33668.73097316371,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,53433.67593323811,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,72790.99933758887,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,67715.42904791454,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,91081.77106529745,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
