node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,38970.28948376573,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,53062.67025328496,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,63334.092573292575,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,11205.221619999686,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,42836.01929818934,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,89809.58727178174,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,78527.02659413374,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,33137.990973895554,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,74117.07596530508,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,65762.96031997012,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,61278.7790893579,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,155873.3940018126,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
