node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,49582.3447237265,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,61116.46832229386,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,31204.50511366684,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,23062.265649584762,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,49551.320842878886,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,92892.48530923827,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,69304.81922136164,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,75395.91546798564,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,58908.84015659544,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,54765.174393413705,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,39186.00295174251,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,135481.2830867942,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
