node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,64467.66418634412,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,73027.12780477325,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,87042.07890639018,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,26313.825802145577,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,53246.537220719576,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,47492.87380454301,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,66272.47167354166,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,63095.36360594991,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,58510.21781684311,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,63592.538795567816,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,43117.180472516615,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,135478.42180336275,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
