node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,70041.29798493123,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,101013.12554897366,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,54763.4161738726,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21718.08896518007,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,96984.54926642124,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,78031.14161907924,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,107542.15690086507,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,46570.48443366663,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,60128.45076286505,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,51450.92347987784,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,40759.58580713833,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,188448.4653565731,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
