node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,44119.929515881435,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,82328.24570358575,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,34965.49447310166,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,13276.969500290894,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,100182.92117234277,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,72029.0216661764,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,95305.76117107346,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,91378.54096891101,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,64358.77620003412,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,76553.48217137124,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,39577.0617837217,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,142581.1596669103,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
