node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,81507.23872822638,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,78457.61647870336,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,57418.53548802595,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,22807.28634157307,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,77839.88401425479,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,42451.38331527108,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,60370.03720613176,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,62123.15364911876,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,53159.13075201065,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,103073.10512072749,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,41133.04494096178,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,177403.81236694707,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
