node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,37728.98936999969,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,77532.43716001062,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,36829.35571327857,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,20189.054680106503,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,98955.41537486047,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,95462.03060337531,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,105105.1360797572,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,65664.87980587753,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,67179.36459085913,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,101934.82046528779,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,57010.83440827846,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,155787.30559306813,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
