node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,76779.19467607759,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,41733.54132250916,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,44042.90092543067,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,25141.392188103706,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,44911.705976718375,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,84372.30317876548,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,105406.94310558506,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,50095.33848034439,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,42575.89561483371,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,68800.54410927244,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,77724.56928377665,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,117171.63087197994,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
