node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,79085.88444927966,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,109596.710408627,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,81451.91720108301,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,28049.85809707441,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,105183.52578500933,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,79134.25760433238,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,91094.61624587509,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,93247.03099381129,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,58655.89004859537,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,37265.62210886351,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,83414.75804068094,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,179518.76723265398,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
