node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,50415.106688609805,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,98991.80724389873,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,37505.78717548581,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,12115.38309444381,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,67628.582339408,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,108889.17726663419,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,54045.85476482702,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,51281.060878181415,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,65163.362549592595,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,89078.16558727059,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,50127.68319183283,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,202410.02473404238,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
