node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,82413.62651518061,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,98230.67068656598,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,36902.28445258255,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,12205.395516941968,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,91992.86150237948,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,84337.51955591635,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,73913.09686419045,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,88799.3086243223,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,74725.39969725751,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,94963.4920465133,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,75764.14949911529,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,197001.19251048745,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
