node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,36152.57538830649,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,62829.76821184888,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,49422.078498726296,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,11290.626637831521,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,74691.83578568495,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,106939.1983526573,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,93306.2190688298,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,71543.01613486813,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,32825.45855841105,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,50005.55278998858,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,50720.11103553407,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,75863.5540546929,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
