node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,62255.8575961816,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,91070.18478538301,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,60404.447198294896,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,25921.360942052648,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,60269.81408539549,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,42385.81195006257,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,60821.93946231003,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,74202.91703520829,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,51669.98841631401,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,71886.9262548803,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,52891.40091162648,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,150032.11070666608,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
