node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,60467.53213039774,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,72416.10589349657,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,61274.43483669962,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,27521.884756521707,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,86200.07877344704,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,93044.97882039327,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,42034.37807059404,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,82383.13844165407,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,58124.445788628276,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,37143.10498915883,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,33449.532071583715,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,70307.87742751697,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
