node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,35072.931081667746,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,51389.94202065868,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,72463.19208983936,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,24979.327412535175,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,84574.8202404766,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,69758.32094025378,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,81077.71217084487,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,40564.68521309971,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,32495.37305006469,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,39366.447083486964,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,33006.50135965911,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,166081.9347388304,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
