node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,52570.65515991408,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,101582.50291732891,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,38516.71017318384,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,29411.702312284862,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,59422.05588179391,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,47899.453933937075,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,93456.98024521278,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,71574.6970962826,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,42986.518338799964,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,69528.92028441605,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,64550.10700728639,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,89297.90302836346,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
