node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,72439.44476424831,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,45001.61467625049,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,64537.37089384914,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,29521.136062803304,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,70574.79798587247,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,89113.44476665369,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,101836.15158828783,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,59846.88262931444,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,66170.26046384595,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,62963.796868161175,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,43844.89669093743,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,120108.36990253977,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
