node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,77037.9930817399,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,58140.82518467846,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,41050.09028904819,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21483.69681977798,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,51601.867695322326,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,42466.285690482495,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,87207.61376131061,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,66345.05101959314,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,41138.299831929486,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,60607.184863467635,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,66860.90851192574,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,175748.5501770271,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
