node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,74824.01235038617,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,115286.85973079926,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,50438.608272075435,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,16505.0204560123,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,96850.27468490573,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,46168.53693661402,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,61455.29220598685,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,86227.7155314189,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,77872.66695586858,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,40922.89784290517,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,64568.78886046902,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,186076.74080711178,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
