node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,87140.2689916469,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,106699.95180075389,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,82823.70700520807,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,12550.85644755666,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,94036.6698035159,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,115217.53690678102,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,37979.36364469343,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,80877.68110422808,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,87609.05215370515,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,63476.91956916229,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,46617.16415949356,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,140116.50554155174,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
