node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,48620.25584403003,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,75780.1741850469,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,76205.9984832589,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,16538.999660965077,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,92472.92416249147,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,74937.23885281214,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,68263.26697086768,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,44395.76414891821,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,88988.03081459049,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,39807.97722476304,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,32041.51937082794,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,159286.06780673648,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
