node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,60541.920938581265,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,90858.79599086239,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,82378.34759178996,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,15285.487220186204,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,40463.96756024456,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,55321.33979975885,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,105583.63431196008,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,73390.33348176065,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,49003.32564003014,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,68518.23121877907,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,77777.82097360813,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,174607.13385626924,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
