node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,65991.05538683274,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,88785.49222319365,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,42265.23488270291,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,14986.622543829819,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,66881.82599056802,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,55530.343885771996,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,59881.898235161265,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,97089.25183203106,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,54474.943124977915,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,72885.14539018842,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,81942.86437036606,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,88127.75490760332,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
