node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,36870.657337247154,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,94689.20363922032,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,35079.01034629599,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21991.138452874606,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,94682.18211299398,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,59274.85232597468,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,82797.76163788354,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,97380.4086294612,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,84167.88941022186,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,72303.03072577142,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,49051.64161037443,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,140706.22108333858,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
