node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,49095.365336865136,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,46202.29872068233,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,50133.56774647329,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,27854.98114105557,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,95558.31142214203,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,91357.62894066947,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,74219.16332828975,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,96532.81115027877,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,74832.57506716845,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,70001.07026907957,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,35233.40472501373,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,88763.42964279235,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
