node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,62036.4795698074,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,65929.9500781764,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,75524.65255359325,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,12886.340983008144,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,78569.13861498996,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,67637.4315524965,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,78737.8557127186,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,39946.12049331702,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,78365.31986072431,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,42871.95549363577,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,60330.993222163735,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,103088.64439292486,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
