node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,40338.21561546279,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,73992.79287360932,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,75456.53111905899,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,20448.947584838534,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,64881.3333471294,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,95653.26171904316,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,69595.00777975532,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,41734.31724435124,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,68143.71299199827,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,64432.32745058941,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,75641.06695184653,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,80283.57139240384,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
