node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,72953.55269197829,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,87697.0082230749,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,64914.95765507278,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,14151.017933295525,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,76773.47754359056,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,114759.1942077835,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,104747.65149349994,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,75014.30004458614,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,51430.6101775168,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,48380.05641392015,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,31772.347899818495,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,137137.82134632213,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
