node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,36234.15124634629,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,40752.53329249764,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,43536.508094660116,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,25051.043090417243,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,41005.29620923279,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,88871.71275302011,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,53905.21766970547,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,92947.91413306638,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,87025.66800727292,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,43863.91863760244,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,55517.196657760374,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,112721.14636049996,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
