node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,40592.70870991024,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,84295.536618389,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,76128.09194354057,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,16843.14324282472,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,53747.844265507425,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,53011.954887281296,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,64299.60215149567,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,67092.17841456355,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,68549.47136824626,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,73469.1104318998,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,79540.53872199531,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,132739.69569074575,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
