node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,76450.8262960639,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,105246.7884446053,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,29830.795939141793,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,22625.0038527344,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,45401.60785738681,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,81572.5473802955,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,41246.02145549261,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,56598.95040355257,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,74262.15011230051,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,102250.49996715182,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,77355.23268817062,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,119433.41535108902,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
