node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,54375.31785739897,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,92535.18915161249,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,82787.83486095551,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,13090.902349728147,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,83386.16893990741,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,60410.29413090697,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,107679.87207745248,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,87499.97903069992,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,81586.22172037927,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,71410.15638830212,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,57010.85526930522,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,134893.3002262803,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
