node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,51605.84023041244,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,52853.9691278882,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,32007.42843713886,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,12120.863532968742,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,45354.73783477597,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,47814.14398867268,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,48667.46516108664,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,86491.6305798219,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,82771.6504740685,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,72007.22973125242,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,63284.791057446084,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,139095.30193352196,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
