node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,75387.33361555841,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,48578.71114932038,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,63727.0429273642,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,23110.921592751365,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,47545.4961305001,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,104946.00647967776,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,41006.5942824904,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,90176.42971996042,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,65131.70318096256,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,70780.37938611725,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,55922.75041120442,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,91974.30790464931,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
