node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,57875.736446965515,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,112309.55270142674,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,32095.77733062402,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,18081.888170016267,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,50399.93656223427,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,52980.136830780815,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,46064.808373013824,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,49971.78996518042,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,63346.57262290192,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,46228.57437241875,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,61514.96430634851,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,121507.57488417279,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
