node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,87829.90130128738,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,82644.02847634653,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,44207.63891108827,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,21486.783222425795,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,40393.94756656658,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,53551.569967894095,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,43362.485518380585,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,91738.50733890841,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,31139.471741608588,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,64591.01160531846,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,62814.35836538875,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,168218.34764560102,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
