node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,34527.35930173965,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,44780.05387836508,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,63397.95051618109,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,25543.085362375663,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,92983.62449982336,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,68743.27073230843,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,106611.65925566328,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,68130.14921493868,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,50821.58711837931,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,67769.90630081808,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,77038.71920997404,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,94318.63734232022,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
