node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,72290.02364659976,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,54431.91146585794,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,37629.456612269256,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,28376.07672131334,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,88232.55741222194,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,50780.61465598108,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,98110.10840961178,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,84656.37635216594,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,41352.78355273794,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,85784.59361650182,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,84082.39195051132,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,88071.48122587094,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
