node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,63835.57995660863,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,76946.33842434509,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,82880.69026618256,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,15942.751732359191,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,107697.2258837086,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,90957.92285515985,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,54154.52277010575,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,80636.64179294168,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,63424.00199562905,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,101713.70734132033,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,86777.76185212846,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,192691.50615313576,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
