node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,67563.1718695623,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,79230.02679033007,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,55736.98820039791,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,20404.816990373572,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,87009.179959444,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,49460.73007738773,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,101502.90281842179,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,58779.08007824887,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,67558.85371310163,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,100761.80612656401,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,76533.05345198447,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,89538.41917701162,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
