node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,31016.496694731013,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,67327.88609008152,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,66203.91158314695,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,17616.33054998045,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,45588.91643771378,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,79107.82912620567,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,99010.89082105778,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,65861.93721228174,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,66863.93051894866,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,54585.57978929387,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,79261.70444482037,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,122885.50082754555,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
