node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,78019.70543966956,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,100663.3201814719,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,63721.741667905655,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,27770.968109098223,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,77737.85340537906,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,58331.44044811617,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,83132.39312539548,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,58799.77306166995,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,81259.46168285621,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,105774.32197897912,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,41703.55618726493,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,153408.70830300057,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
