node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,30827.619141544248,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,57279.6921265144,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,77046.17618227332,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,19802.628371145176,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,49048.62563135645,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,75899.71211062519,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,51921.05726156356,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,68357.93123741259,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,40286.161003941736,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,77786.0728954919,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,72382.70094851386,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,175746.18210190322,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
