node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,37314.74077539396,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,98035.35586778702,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,34570.05495871059,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,25650.38339825478,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,49637.76500548406,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,105353.2397537716,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,79716.64992612497,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,69921.33749802598,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,35964.84135430757,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,79785.99162257623,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,61625.58627703431,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,185892.83079766738,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
