node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AUS,85944.10251730355,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
AUT,77317.69004920471,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
BRA,86025.22996286601,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
CHN,28712.466425765477,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
CZE,65863.863327883,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
DEU,41383.243234961876,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
ITA,53517.73829132683,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
JPN,84611.23081328964,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
KOR,83442.90283376083,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
ROE,69331.476556668,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
ROW,45095.149973025436,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
USA,74158.4094656115,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
