location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,0.0,0.0,0.0,
AUS,Compressor,1,0.0,0.0,0.0,
AUS,Compressor,2,0.0,0.0,0.0,
AUS,Compressor,3,0.0,0.0,0.0,
AUS,Compressor,4,0.0,0.0,0.0,
AUS,Compressor,5,0.0,0.0,0.0,
AUS,Compressor,6,0.0,0.0,0.0,
AUS,Compressor,7,0.0,0.0,0.0,
AUS,Compressor,8,0.0,0.0,0.0,
AUS,Compressor,9,0.0,0.0,0.0,
AUS,Compressor,10,13680.897811365145,13680.897811365145,0.9591912747252624,14262.950645880002
AUS,Compressor,11,0.0,0.0,0.0,
AUS,Compressor,12,0.0,0.0,0.0,
AUS,Compressor,13,0.0,0.0,0.0,
AUS,Copper,0,0.0,0.0,0.0,
AUS,Copper,1,0.0,0.0,0.0,
AUS,Copper,2,0.0,0.0,0.0,
AUS,Copper,3,0.0,0.0,0.0,
AUS,Copper,4,0.0,0.0,0.0,
AUS,Copper,5,0.0,0.0,0.0,
AUS,Copper,6,0.0,0.0,0.0,
AUS,Copper,7,0.0,0.0,0.0,
AUS,Copper,8,0.0,0.0,0.0,
AUS,Copper,9,0.0,0.0,0.0,
AUS,Copper,10,0.0,0.0,0.0,
AUS,Copper,11,0.0,0.0,0.0,
AUS,Copper,12,0.0,0.0,0.0,
AUS,Copper,13,0.0,0.0,0.0,
AUS,Copper_ore,0,0.0,0.0,0.0,
AUS,Copper_ore,1,0.0,0.0,0.0,
AUS,Copper_ore,2,0.0,0.0,0.0,
AUS,Copper_ore,3,0.0,0.0,0.0,
AUS,Copper_ore,4,0.0,0.0,0.0,
AUS,Copper_ore,5,0.0,0.0,0.0,
AUS,Copper_ore,6,0.0,0.0,0.0,
AUS,Copper_ore,7,0.0,0.0,0.0,
AUS,Copper_ore,8,309.97893011156503,309.97893011156503,1.850875,167.47696636
AUS,Copper_ore,9,309.97893011156503,309.97893011156503,1.850875,167.47696636
AUS,Copper_ore,10,1857.4815596840556,1857.4815596840556,11.090967313626324,167.47696636
AUS,Copper_ore,11,309.98817020387867,309.98817020387867,1.850875,167.4819586432788
AUS,Copper_ore,12,309.98817020387867,309.98817020387867,1.850875,167.4819586432788
AUS,Copper_ore,13,309.98817020387867,309.98817020387867,1.850875,167.4819586432788
AUS,HEX,0,0.0,0.0,0.0,
AUS,HEX,1,0.0,0.0,0.0,
AUS,HEX,2,0.0,0.0,0.0,
AUS,HEX,3,0.0,0.0,0.0,
AUS,HEX,4,0.0,0.0,0.0,
AUS,HEX,5,0.0,0.0,0.0,
AUS,HEX,6,0.0,0.0,0.0,
AUS,HEX,7,0.0,0.0,0.0,
AUS,HEX,8,0.0,0.0,0.0,
